iter	Passed	Remaining
651	7134	3808
652	7144	3796
653	7153	3784
654	7165	3774
655	7175	3762
656	7184	3750
657	7195	3740
658	7207	3729
659	7218	3718
660	7229	3707
661	7240	3696
662	7250	3685
663	7262	3674
664	7273	3664
665	7284	3653
666	7296	3642
667	7308	3632
668	7320	3621
669	7331	3610
670	7339	3598
671	7350	3587
672	7361	3576
673	7371	3565
674	7381	3554
675	7393	3543
676	7404	3532
677	7415	3521
678	7425	3510
679	7435	3499
680	7446	3488
681	7455	3476
682	7466	3465
683	7476	3454
684	7486	3442
685	7496	3431
686	7507	3420
687	7519	3409
688	7531	3399
689	7541	3388
690	7551	3377
691	7562	3365
692	7572	3354
693	7582	3343
694	7591	3331
695	7603	3321
696	7614	3310
697	7626	3299
698	7636	3288
699	7645	3276
700	7656	3265
701	7666	3254
702	7676	3242
703	7686	3231
704	7704	3223
705	7724	3216
706	7735	3205
707	7746	3194
708	7757	3184
709	7768	3172
710	7778	3161
711	7789	3150
712	7800	3139
713	7812	3129
714	7823	3118
715	7832	3106
716	7844	3096
717	7854	3084
718	7866	3074
719	7875	3062
720	7885	3051
721	7896	3040
722	7908	3029
723	7918	3018
724	7927	3007
725	7938	2996
726	7948	2984
727	7962	2974
728	7972	2963
729	7982	2952
730	7993	2941
731	8005	2930
732	8016	2919
733	8027	2909
734	8042	2899
735	8052	2888
736	8063	2877
737	8072	2865
738	8083	2854
739	8094	2844
740	8104	2832
741	8115	2821
742	8127	2811
743	8137	2800
744	8148	2789
745	8158	2777
746	8168	2766
747	8179	2755
748	8190	2744
749	8200	2733
750	8212	2722
751	8222	2711
752	8232	2700
753	8242	2689
754	8252	2678
755	8261	2666
756	8271	2655
757	8282	2644
758	8292	2633
759	8304	2622
760	8314	2611
761	8325	2600
762	8335	2589
763	8345	2578
764	8355	2566
765	8365	2555
766	8374	2544
767	8385	2533
768	8395	2521
769	8405	2510
770	8416	2499
771	8426	2488
772	8436	2477
773	8449	2467
774	8459	2455
775	8470	2444
776	8482	2434
777	8491	2423
778	8500	2411
779	8511	2400
780	8521	2389
781	8531	2378
782	8542	2367
783	8552	2356
784	8561	2344
785	8572	2333
786	8582	2322
787	8592	2311
788	8603	2300
789	8615	2290
790	8627	2279
791	8637	2268
792	8646	2256
793	8656	2245
794	8665	2234
795	8674	2223
796	8684	2212
797	8695	2201
798	8704	2189
799	8716	2179
800	8727	2168
801	8736	2156
802	8747	2145
803	8758	2135
804	8768	2124
805	8779	2113
806	8792	2102
807	8803	2091
808	8814	2080
809	8824	2069
810	8835	2059
811	8846	2048
812	8855	2036
813	8866	2026
814	8876	2014
815	8886	2003
816	8896	1992
