id,split,filled_emp_length
684732,test,4
684988,test,0
685046,test,2
685464,test,10
685480,test,6
685536,test,4
686910,test,3
687163,test,2
687550,test,5
687618,test,0
688682,test,10
689089,test,10
689107,test,3
689115,test,10
689461,test,4
689542,test,2
690138,test,0
690475,test,4
690520,test,2
690606,test,7
690764,test,4
691359,test,9
691756,test,10
692034,test,1
692149,test,2
692231,test,5
694094,test,2
694726,test,5
695035,test,7
695152,test,3
695753,test,4
697219,test,3
697250,test,2
697280,test,10
697592,test,6
697999,test,5
698460,test,0
698545,test,10
698636,test,10
699321,test,3
699896,test,2
700340,test,8
700865,test,3
700883,test,8
701009,test,5
701583,test,5
701905,test,10
702018,test,3
702165,test,5
702471,test,5
702779,test,10
702880,test,0
703021,test,4
703104,test,5
703111,test,10
703338,test,10
703372,test,10
703550,test,10
704058,test,8
704731,test,9
705879,test,4
705898,test,10
705954,test,7
706013,test,10
706337,test,5
706376,test,8
706556,test,3
707347,test,10
707632,test,0
707637,test,10
707938,test,6
707960,test,1
708122,test,5
708230,test,5
708969,test,7
709590,test,0
709881,test,1
709917,test,5
710255,test,10
710743,test,4
711127,test,8
711272,test,4
711498,test,10
711545,test,7
711570,test,2
711577,test,9
711870,test,6
711919,test,3
711973,test,2
712011,test,1
712144,test,6
712221,test,1
712408,test,5
712485,test,0
712615,test,0
713030,test,3
713232,test,3
713479,test,6
713700,test,10
713710,test,1
713841,test,1
714281,test,4
714370,test,0
714579,test,1
714615,test,6
714707,test,10
715167,test,5
715319,test,10
715502,test,1
715674,test,2
715752,test,0
715930,test,0
716069,test,6
716286,test,10
716299,test,5
716335,test,4
716570,test,5
716952,test,8
717106,test,10
717550,test,0
717898,test,1
718020,test,1
718608,test,10
718797,test,1
718910,test,9
719166,test,1
719189,test,10
719577,test,10
719622,test,6
720171,test,0
721195,test,2
721216,test,10
721333,test,5
721753,test,0
721856,test,2
721876,test,8
721991,test,4
722049,test,0
722243,test,3
722593,test,1
722612,test,4
723263,test,2
723436,test,5
723466,test,10
723683,test,10
723817,test,4
723925,test,10
724211,test,3
724242,test,6
724563,test,5
725029,test,3
725042,test,5
725123,test,4
725193,test,10
725305,test,1
725367,test,7
725676,test,10
725833,test,10
726038,test,10
726304,test,10
726815,test,1
727109,test,6
727113,test,1
727396,test,10
727693,test,3
727724,test,5
727755,test,7
728135,test,8
728464,test,5
728623,test,6
728670,test,7
728866,test,4
729572,test,10
729733,test,4
730471,test,3
730501,test,2
730532,test,0
730571,test,10
730598,test,3
730773,test,5
730804,test,5
731530,test,6
731690,test,5
731876,test,10
731897,test,8
732001,test,10
732635,test,3
732738,test,4
733201,test,4
733239,test,2
733448,test,2
733565,test,5
734018,test,5
734092,test,2
734138,test,10
734341,test,3
734617,test,6
734645,test,10
734657,test,4
734739,test,6
734817,test,2
734839,test,4
734863,test,10
735296,test,0
735317,test,2
736120,test,6
736548,test,3
736551,test,4
737345,test,10
737481,test,2
737488,test,3
737528,test,2
737718,test,6
737812,test,3
737872,test,10
737995,test,7
738121,test,3
738420,test,1
738778,test,7
739006,test,4
739200,test,10
739203,test,5
739289,test,5
739416,test,5
739533,test,10
740100,test,1
740317,test,0
740417,test,2
740599,test,10
740830,test,1
740902,test,6
741132,test,7
741771,test,4
741781,test,3
741982,test,8
742259,test,10
742275,test,0
742429,test,0
742591,test,2
742971,test,8
743289,test,6
743382,test,10
743432,test,6
743596,test,4
743614,test,3
744344,test,6
744579,test,10
744641,test,1
745145,test,3
745664,test,7
745820,test,1
745916,test,5
745982,test,10
746087,test,2
746180,test,3
746482,test,2
746538,test,2
746780,test,5
746928,test,6
747130,test,1
747177,test,5
747481,test,10
747991,test,5
748775,test,0
749211,test,0
749262,test,10
749319,test,10
749568,test,3
750374,test,5
750410,test,10
750710,test,10
750759,test,1
751237,test,4
751480,test,10
752016,test,5
752170,test,6
753401,test,0
753656,test,10
753732,test,0
753800,test,1
753902,test,2
754000,test,10
754033,test,0
754112,test,4
754158,test,10
754762,test,8
755063,test,7
755294,test,10
755317,test,4
755533,test,8
755649,test,2
755784,test,0
755983,test,10
756050,test,5
756075,test,2
757198,test,10
757200,test,2
757221,test,4
757740,test,0
757754,test,3
757952,test,0
758672,test,3
759058,test,2
759566,test,4
